iter	Passed	Remaining
0	1	1454
1	2	1476
2	4	1441
3	5	1452
4	7	1466
5	9	1544
6	10	1535
7	12	1530
8	13	1500
9	14	1451
10	16	1448
11	17	1435
12	18	1426
13	20	1420
14	21	1410
15	23	1434
16	24	1433
17	26	1434
18	27	1430
19	28	1420
20	30	1408
21	31	1407
22	32	1395
23	34	1382
24	35	1381
25	36	1385
26	38	1389
27	39	1385
28	41	1375
29	41	1356
30	43	1353
31	44	1343
32	45	1338
33	47	1336
34	48	1326
35	49	1323
36	51	1335
37	52	1331
38	53	1323
39	54	1315
40	55	1307
41	56	1299
42	58	1292
43	59	1285
44	60	1279
45	61	1273
46	62	1266
47	63	1260
48	64	1260
49	66	1260
50	67	1255
51	68	1249
52	69	1245
53	70	1239
54	71	1234
55	73	1231
56	73	1223
57	75	1220
58	76	1215
59	77	1210
60	78	1206
61	79	1206
62	80	1202
63	81	1198
64	83	1195
65	84	1191
66	85	1187
67	86	1187
68	88	1187
69	89	1184
70	90	1181
71	91	1179
72	92	1177
73	93	1175
74	95	1174
75	96	1172
76	97	1169
77	98	1161
78	99	1158
79	100	1156
80	101	1154
81	102	1151
82	103	1148
83	105	1145
84	106	1142
85	107	1139
86	108	1136
87	109	1135
88	110	1135
89	112	1133
90	113	1131
91	114	1128
92	115	1126
93	116	1124
94	117	1122
95	118	1119
96	119	1116
97	121	1114
98	122	1111
99	123	1113
100	124	1110
101	126	1113
102	127	1112
103	129	1113
104	130	1111
105	131	1109
106	132	1106
107	133	1104
108	134	1102
109	136	1100
110	137	1100
111	138	1094
112	139	1095
113	140	1093
114	142	1092
115	143	1093
116	144	1093
117	146	1091
118	147	1089
119	148	1087
120	149	1085
121	150	1085
122	152	1085
123	153	1084
124	155	1086
125	156	1087
126	158	1088
127	159	1088
128	160	1085
129	162	1084
130	163	1084
131	164	1082
132	165	1081
133	167	1080
134	168	1082
135	170	1081
136	171	1080
137	172	1079
138	174	1079
139	175	1078
140	176	1076
141	178	1076
142	179	1075
143	180	1074
144	182	1073
145	183	1074
146	185	1074
147	186	1072
148	187	1072
149	189	1072
150	190	1071
151	191	1070
152	193	1070
153	194	1069
154	196	1069
155	197	1070
156	199	1070
157	200	1068
158	201	1068
159	203	1067
160	204	1065
161	205	1063
162	206	1062
163	208	1060
164	209	1058
165	210	1057
166	211	1055
167	213	1056
168	214	1055
169	215	1053
170	216	1051
171	218	1049
172	219	1047
173	220	1045
174	221	1043
175	222	1041
176	224	1041
177	225	1041
178	227	1041
179	228	1041
180	230	1043
181	232	1042
182	233	1042
183	234	1041
184	236	1040
185	237	1039
186	238	1035
187	239	1034
188	240	1032
189	242	1032
190	243	1032
191	244	1030
192	246	1028
193	247	1026
194	248	1024
195	249	1022
196	250	1020
197	251	1019
198	252	1017
199	253	1014
200	254	1012
201	255	1010
202	257	1010
203	258	1008
204	259	1007
205	260	1005
206	261	1003
207	263	1001
208	264	999
209	265	998
210	266	996
211	267	994
212	268	993
213	269	991
214	271	990
215	272	990
216	274	988
217	275	987
218	276	985
219	277	983
220	278	982
221	280	981
