iter	Passed	Remaining
0	1	1422
1	2	1358
2	4	1386
3	5	1412
4	7	1423
5	8	1404
6	9	1389
7	11	1423
8	12	1405
9	14	1397
10	15	1378
11	16	1364
12	17	1349
13	19	1340
14	20	1334
15	21	1325
16	22	1324
17	24	1323
18	25	1334
19	27	1330
20	28	1322
21	29	1296
22	30	1286
23	31	1285
24	32	1283
25	34	1283
26	35	1281
27	36	1278
28	38	1279
29	39	1290
30	41	1290
31	42	1286
32	43	1283
33	44	1268
34	45	1266
35	46	1258
36	47	1248
37	48	1238
38	50	1237
39	51	1231
40	52	1225
41	53	1224
42	55	1230
43	56	1227
44	57	1223
45	58	1217
46	59	1212
47	60	1206
48	61	1200
49	62	1194
50	63	1190
51	65	1185
52	66	1181
53	67	1178
54	69	1186
55	70	1182
56	71	1177
57	72	1172
58	73	1168
59	74	1163
60	75	1159
61	76	1155
62	77	1152
63	78	1148
64	79	1145
65	80	1141
66	81	1139
67	83	1144
68	84	1143
69	85	1140
70	86	1137
71	87	1134
72	89	1131
73	90	1128
74	90	1118
75	91	1116
76	92	1113
77	93	1110
78	95	1107
79	96	1108
80	97	1110
81	99	1109
82	100	1108
83	101	1106
84	102	1104
85	103	1102
86	104	1100
87	105	1098
88	107	1096
89	108	1093
90	109	1092
91	110	1090
92	112	1092
93	113	1091
94	114	1088
95	115	1086
96	116	1085
97	117	1083
98	118	1082
99	120	1080
100	121	1077
101	122	1075
102	123	1073
103	124	1070
104	125	1068
105	126	1067
106	127	1067
107	129	1068
108	130	1068
109	131	1066
110	132	1064
111	133	1062
112	135	1059
113	136	1058
114	137	1057
115	138	1055
116	139	1054
117	141	1055
118	142	1054
119	143	1052
120	144	1050
121	145	1048
122	146	1043
123	147	1041
124	148	1039
125	149	1037
126	150	1032
127	151	1032
128	152	1032
129	154	1032
130	155	1032
131	157	1034
132	158	1034
133	159	1033
134	160	1031
135	162	1030
136	163	1028
137	164	1027
138	165	1025
139	166	1023
140	167	1020
141	168	1018
142	169	1017
143	171	1017
144	172	1015
145	173	1014
146	174	1012
147	175	1010
148	176	1008
149	177	1007
150	178	1002
151	179	1001
152	180	999
153	181	997
154	182	996
155	183	994
156	185	995
157	186	994
158	188	994
159	189	994
160	190	993
161	191	992
162	192	990
163	194	989
164	195	987
165	196	985
166	197	983
167	198	982
168	199	982
169	200	981
170	202	980
171	203	978
172	204	977
173	205	976
174	206	974
175	207	972
176	208	971
177	209	969
178	211	968
179	212	966
180	213	967
181	214	965
182	215	963
183	216	961
184	218	960
185	219	959
186	220	959
187	221	958
188	223	957
189	224	957
190	225	957
191	233	984
192	239	1000
193	242	1005
194	244	1009
195	247	1013
196	249	1017
197	251	1018
198	253	1019
199	254	1019
200	256	1019
201	257	1018
202	259	1018
203	260	1016
204	261	1015
205	263	1015
206	265	1015
207	266	1013
208	267	1011
209	268	1010
210	269	1008
211	270	1006
212	271	1004
213	272	1002
214	274	1000
215	275	999
216	276	997
217	278	1000
218	280	1000
219	281	998
220	282	997
221	284	995
222	284	992
223	286	991
224	287	989
225	288	987
226	289	985
227	290	983
228	291	981
229	293	982
230	294	981
231	296	980
232	297	978
233	298	976
234	299	974
235	300	973
236	301	971
237	302	969
238	304	968
239	305	966
240	306	965
241	308	965
242	309	963
243	310	962
244	311	960
245	313	959
246	314	958
247	315	956
248	316	954
249	317	953
250	318	951
251	319	949
252	321	948
253	323	949
254	324	947
255	325	946
256	326	944
257	327	943
258	329	941
259	330	939
260	331	938
261	332	936
262	333	934
263	334	933
264	336	932
265	338	933
266	339	931
267	340	930
268	342	929
269	343	928
270	344	926
271	345	924
272	346	922
273	347	920
274	348	918
275	349	917
276	350	916
277	352	916
278	353	913
279	354	911
280	355	909
281	356	907
282	357	906
283	358	904
284	359	903
285	361	901
286	362	899
287	363	898
288	364	897
289	365	895
290	367	894
291	368	893
292	369	891
293	370	890
294	371	888
295	372	886
296	373	885
297	375	883
298	376	881
299	377	880
300	378	878
301	379	877
302	380	876
303	382	874
304	383	873
305	384	871
306	385	870
307	386	868
308	387	867
309	388	865
310	390	864
311	391	862
312	392	861
313	393	859
314	394	858
315	396	857
316	397	856
317	398	854
318	399	853
319	400	851
320	401	849
321	402	848
322	404	846
323	405	845
324	406	844
325	407	842
326	409	841
327	411	843
328	424	865
329	439	892
330	443	897
331	446	898
332	448	897
333	449	896
334	451	896
335	452	895
336	454	893
337	455	892
338	457	891
339	458	889
340	459	888
341	460	886
342	461	884
343	462	882
344	463	880
345	465	879
